Year,TotalHomeless,Population,Unemployment,Unsheltered_perc_tot,TotalBeds_perc_tot,Emergency_perc_tot,Transitional_perc_tot,SafeHaven_perc_tot,PermanentSupportive_perc_tot,PermanentOther_perc_tot,RapidRehousing_perc_tot
2019,1650,1471968,3.3,40.72727273,67.09090909,47.21212121,18.96969697,0.909090909,95.75757576,5.393939394,41.45454545
2018,1795,1451919,3.5,35.6545961,71.97771588,53.48189415,17.60445682,0.891364903,89.63788301,4.846796657,32.98050139
2017,1549,1426736,4,36.60426081,71.53001937,48.74112331,21.82052937,0.968366688,101.6785023,3.227888961,34.53841188
2016,1817,1396693,4.5,42.32250963,68.24435883,39.46064942,28.23335168,0.550357733,80.35222895,4.347826087,35.11282334
2015,1931,1364073,5.1,39.15069912,67.42620404,38.0631797,28.84515795,0.51786639,74.41740031,3.935784568,17.96996375
2014,1944,1332298,6,56.12139918,53.96090535,23.09670782,30.34979424,0.514403292,68.00411523,5.24691358,4.115226337
2019,2415,974996,3.2,34.53416149,80.37267081,61.11801242,15.73498965,3.519668737,64.38923395,0.621118012,15.27950311
2018,2612,973058,3.4,36.94486983,75.45941807,59.15007657,13.43797856,2.87136294,60.10719755,0.574272588,23.00918836
2017,2831,968341,3.9,40.69233486,72.30660544,54.50370894,16.21335217,1.589544331,53.832568,0,5.051218651
2016,2777,959874,4.4,41.01548434,77.88980915,49.62189413,26.64746129,1.620453727,50.95426719,0,27.87180411
2015,3387,947060,5,34.60289342,74.01830528,45.32034249,27.36935341,1.328609389,35.4295837,0,12.04605846
2014,3391,936400,5.9,34.73901504,69.80241817,40.19463285,28.28074314,1.32704217,29.75523444,0,0.530816868
2019,563,724777,3.9,20.24866785,106.2166963,49.55595027,56.660746,0,49.37833037,0,16.51865009
2018,552,706597,4.2,24.27536232,103.442029,48.91304348,54.52898551,0,48.91304348,0,12.68115942
2017,512,685368,4.8,29.1015625,102.34375,40.625,61.71875,0,49.4140625,0,1.3671875
2016,635,665823,5.6,40.94488189,104.5669291,47.24409449,57.32283465,0,24.40944882,0,1.88976378
2015,464,648523,6.4,51.07758621,110.3448276,47.84482759,62.5,0,31.89655172,0,0
2014,536,634398,7.4,53.73134328,80.78358209,33.20895522,47.57462687,0,25.93283582,0,0
2019,875,668365,3.8,57.94285714,58.17142857,27.31428571,28.57142857,2.285714286,50.05714286,14.4,14.05714286
2018,683,658186,4,59.44363104,60.761347,19.91215227,40.84919473,0,58.71156662,8.199121523,13.76281113
2017,753,647867,4.7,59.49535193,59.62815405,20.98273572,38.64541833,0,57.50332005,0,14.87383798
2016,1005,635859,5.35,57.81094527,48.45771144,17.51243781,30.94527363,0,38.20895522,0,27.1641791
2015,1325,621166,6.1,58.49056604,42.49056604,11.54716981,30.94339623,0,32.1509434,0,12.83018868
2014,1633,608604,7.25,62.76791182,36.37477036,9.185548071,27.18922229,0,19.5345989,0,0
2019,399,284809,2.9,58.64661654,21.05263158,21.05263158,0,0,52.38095238,0,22.55639098
2018,495,277666,3.15,83.23232323,27.07070707,12.12121212,14.94949495,0,46.66666667,0,8.888888889
2017,401,271499,3.6,67.58104738,33.41645885,14.96259352,18.45386534,0,53.86533666,0,8.229426434
2016,629,265492,4.2,56.75675676,34.49920509,15.73926868,18.75993641,0,6.677265501,8.744038156,0
2015,683,260814,4.65,60.17569546,42.31332357,20.64421669,21.66910688,0,14.20204978,0,0
2014,1577,255801,5.4,80.84971465,14.52124287,5.136334813,9.384908053,0,3.804692454,3.48763475,0
2019,966,447768,3.675,9.420289855,83.54037267,47.10144928,36.4389234,0,41.20082816,27.01863354,1.035196687
2018,909,444506,3.825,10.89108911,70.0770077,51.59515952,18.48184818,0,53.46534653,21.56215622,2.530253025
2017,1072,443388,4.35,11.38059701,70.80223881,43.28358209,27.51865672,0,42.07089552,17.7238806,3.917910448
2016,869,439210,5.0875,17.0310702,81.24280783,56.38665132,24.8561565,0,45.68469505,24.51093211,7.249712313
2015,863,438551,5.85,25.14484357,68.82966396,42.41019699,26.41946698,0,44.26419467,20.39397451,0
2014,805,436620,6.6625,23.35403727,71.80124224,23.22981366,48.57142857,0,66.83229814,0,0
2019,2010,2241029,3.233333333,16.71641791,101.0447761,68.10945274,32.93532338,0,76.11940299,20,41.5920398
2018,2053,2218118,3.433333333,17.53531417,100.243546,64.539698,35.70384803,0,71.31027764,20.75012177,40.72089625
2017,2074,2172345,4,16.39344262,107.4734812,50.57859209,56.8948891,0,63.88621022,21.74541948,13.7415622
2016,1670,2120670,4.566666667,7.964071856,125.0299401,59.34131737,65.68862275,0,82.5748503,0,13.71257485
2015,2112,2063355,5.3,13.82575758,102.0359848,46.30681818,55.72916667,0,65.19886364,0,10.27462121
2014,2254,2009051,6.266666667,11.80124224,109.4055013,49.02395741,60.38154392,0,53.06122449,0,0
2019,804,431850,3.7,61.94029851,43.15920398,37.06467662,6.094527363,0,99.00497512,0,34.70149254
2018,756,429728,3.9,57.27513228,46.69312169,40.21164021,6.481481481,0,107.2751323,0,26.98412698
2017,819,425011,4.42,54.45665446,46.52014652,37.48473748,9.035409035,0,87.3015873,0,19.29181929
2016,844,420531,5.04,50.35545024,54.50236967,31.99052133,22.51184834,0,77.13270142,0,4.976303318
2015,870,414718,5.76,63.56321839,46.20689655,24.48275862,21.72413793,0,76.55172414,0,5.517241379
2014,1256,410266,6.82,70.70063694,26.51273885,10.50955414,16.00318471,0,67.8343949,0,0
2019,1499,649220,3.8,89.72648432,14.0760507,8.405603736,5.670446965,0,24.94996664,5.737158105,10.74049366
2018,1542,638354,4.166666667,66.73151751,14.9156939,9.014267185,5.901426719,0,23.99481193,5.317769131,4.02075227
2017,1732,627105,4.833333333,89.43418014,12.70207852,5.889145497,6.812933025,0,20.95842956,5.542725173,6.23556582
2016,2382,615050,5.6,89.58858102,11.37699412,5.793450882,5.583543241,0,12.84634761,4.0302267,0
2015,2412,600275,6.233333333,90.21558872,11.31840796,5.638474295,5.679933665,0,12.7694859,0,0
2014,2591,587609,7.5,90.38981088,12.11887302,5.712080278,6.406792744,0,11.30837514,0,0
2019,1654,1265632,3.266666667,30.71342201,83.91777509,51.26964933,32.64812576,0,84.52237001,27.75090689,26.54171705
2018,1794,1250496,3.466666667,23.91304348,87.17948718,56.57748049,30.60200669,0,70.56856187,23.69007804,23.52285396
2017,1869,1233086,4.033333333,23.11396469,83.89513109,53.2905297,30.60460139,0,61.15569823,21.88336009,34.45692884
2016,1959,1213311,4.666666667,22.51148545,87.95303726,52.57784584,35.37519142,0,57.93772333,22.10311383,43.03215926
2015,1853,1190921,5.4,22.98974636,87.74959525,50.29681597,37.45277928,0,55.42363734,32.91958985,17.53912574
2014,2049,1171488,6.3,14.29965837,83.65056125,44.11908248,39.53147877,0,62.76232308,5.319668131,0
2019,518,502629,3.25,34.16988417,136.4864865,51.73745174,84.74903475,0,66.6023166,2.702702703,2.895752896
2018,632,494399,3.55,22.94303797,112.8164557,42.72151899,70.09493671,0,38.60759494,12.8164557,21.0443038
2017,758,487298,4.05,33.90501319,102.1108179,41.82058047,60.29023747,0,48.02110818,0,2.770448549
2016,798,481367,4.8,22.80701754,102.2556391,43.73433584,58.52130326,0,40.47619048,0,0
2015,1014,475537,5.25,46.94280079,76.52859961,28.30374753,48.22485207,0,30.76923077,0,0
2014,843,470628,6.1,27.52075919,93.00118624,34.16370107,58.83748517,0,33.57058126,0,0
2019,356,264672,2.8,56.17977528,52.24719101,27.52808989,24.71910112,0,0,14.88764045,3.651685393
