FIPS,county,state,population
6081,San Joaquin, California,"762,148"
6083,San Luis Obispo, California,"283,111"
6085,San Mateo, California,"766,573"
6087,Santa Barbara, California,"446,499"
6089,Santa Clara, California,"1,927,852"
6091,Santa Cruz, California,"273,213"
6093,Shasta, California,"180,080"
6095,Sierra, California,"3,005"
6097,Siskiyou, California,"43,539"
6099,Solano, California,"447,643"
6101,Sonoma, California,"494,336"
6103,Stanislaus, California,"550,660"
6105,Sutter, California,"96,971"
6107,Tehama, California,"65,084"
6109,Trinity, California,"12,285"
6111,Tulare, California,"466,195"
6113,Tuolumne, California,"54,478"
6115,Ventura, California,"846,006"
8001,Yolo, California,"220,500"
8003,Yuba, California,"78,668"
8005,Adams, Colorado,"517,421"
8007,Alamosa, Colorado,"16,233"
8009,Arapahoe, Colorado,"656,590"
8011,Archuleta, Colorado,"14,029"
8013,Baca, Colorado,"3,581"
8015,Bent, Colorado,"5,577"
8017,Boulder, Colorado,"326,196"
8019,Broomfield, Colorado,"70,465"
8021,Chaffee, Colorado,"20,356"
8023,Cheyenne, Colorado,"1,831"
8025,Clear Creek, Colorado,"9,700"
8027,Conejos, Colorado,"8,205"
8029,Costilla, Colorado,"3,887"
8031,Crowley, Colorado,"6,061"
8033,Custer, Colorado,"5,068"
8035,Delta, Colorado,"31,162"
8037,Denver, Colorado,"727,211"
8039,Dolores, Colorado,"2,055"
8041,Douglas, Colorado,"351,154"
8043,Eagle, Colorado,"55,127"
8045,Elbert, Colorado,"26,729"
8047,El Paso, Colorado,"720,403"
8049,Fremont, Colorado,"47,839"
8051,Garfield, Colorado,"60,061"
8053,Gilpin, Colorado,"6,243"
8055,Grand, Colorado,"15,734"
8057,Gunnison, Colorado,"17,462"
8059,Hinsdale, Colorado,820
8061,Huerfano, Colorado,"6,897"
8063,Jackson, Colorado,"1,392"
8065,Jefferson, Colorado,"582,881"
8067,Kiowa, Colorado,"1,406"
8069,Kit Carson, Colorado,"7,097"
8071,Lake, Colorado,"8,127"
8073,La Plata, Colorado,"56,221"
8075,Larimer, Colorado,"356,899"
8077,Las Animas, Colorado,"14,506"
8079,Lincoln, Colorado,"5,701"
8081,Logan, Colorado,"22,409"
8083,Mesa, Colorado,"154,210"
8085,Mineral, Colorado,769
8087,Moffat, Colorado,"13,283"
8089,Montezuma, Colorado,"26,183"
8091,Montrose, Colorado,"42,758"
8093,Morgan, Colorado,"29,068"
8095,Otero, Colorado,"18,278"
8097,Ouray, Colorado,"4,952"
8099,Park, Colorado,"18,845"
8101,Phillips, Colorado,"4,265"
8103,Pitkin, Colorado,"17,767"
8105,Prowers, Colorado,"12,172"
8107,Pueblo, Colorado,"168,424"
8109,Rio Blanco, Colorado,"6,324"
8111,Rio Grande, Colorado,"11,267"
8113,Routt, Colorado,"25,638"
8115,Saguache, Colorado,"6,824"
8117,San Juan, Colorado,728
8119,San Miguel, Colorado,"8,179"
8121,Sedgwick, Colorado,"2,248"
8123,Summit, Colorado,"31,011"
8125,Teller, Colorado,"25,388"
9001,Washington, Colorado,"4,908"
9003,Weld, Colorado,"324,492"
9005,Yuma, Colorado,"10,019"
9007,Fairfield, Connecticut,"943,332"
9009,Hartford, Connecticut,"891,720"
9011,Litchfield, Connecticut,"180,333"
9013,Middlesex, Connecticut,"162,436"
9015,New Haven, Connecticut,"854,757"
10001,New London, Connecticut,"265,206"
10003,Tolland, Connecticut,"150,721"
10005,Windham, Connecticut,"116,782"
11001,Kent, Delaware,"180,786"
12001,New Castle, Delaware,"558,753"
12003,Sussex, Delaware,"234,225"
12005,District of Columbia, District of Columbia,"705,749"
12007,Alachua, Florida,"269,043"
12009,Baker, Florida,"29,210"
12011,Bay, Florida,"174,705"
12013,Bradford, Florida,"28,201"
12015,Brevard, Florida,"601,942"
12017,Broward, Florida,"1,952,778"
12019,Calhoun, Florida,"14,105"
12021,Charlotte, Florida,"188,910"
12023,Citrus, Florida,"149,657"
12027,Clay, Florida,"219,252"
12029,Collier, Florida,"384,902"
12031,Columbia, Florida,"71,686"
12033,DeSoto, Florida,"38,001"
12035,Dixie, Florida,"16,826"
12037,Duval, Florida,"957,755"
12039,Escambia, Florida,"318,316"
12041,Flagler, Florida,"115,081"
12043,Franklin, Florida,"12,125"
12045,Gadsden, Florida,"45,660"
12047,Gilchrist, Florida,"18,582"
12049,Glades, Florida,"13,811"
12051,Gulf, Florida,"13,639"
12053,Hamilton, Florida,"14,428"
12055,Hardee, Florida,"26,937"
12057,Hendry, Florida,"42,022"
12059,Hernando, Florida,"193,920"
12061,Highlands, Florida,"106,221"
12063,Hillsborough, Florida,"1,471,968"
12065,Holmes, Florida,"19,617"
12067,Indian River, Florida,"159,923"
12069,Jackson, Florida,"46,414"
12071,Jefferson, Florida,"14,246"
12073,Lafayette, Florida,"8,422"
12075,Lake, Florida,"367,118"
12077,Lee, Florida,"770,577"
12079,Leon, Florida,"293,582"
12081,Levy, Florida,"41,503"
12083,Liberty, Florida,"8,354"
12085,Madison, Florida,"18,493"
12086,Manatee, Florida,"403,253"
12087,Marion, Florida,"365,579"
12089,Martin, Florida,"161,000"
12091,Miami-Dade, Florida,"2,716,940"
12093,Monroe, Florida,"74,228"
12095,Nassau, Florida,"88,625"
12097,Okaloosa, Florida,"210,738"
12099,Okeechobee, Florida,"42,168"
12101,Orange, Florida,"1,393,452"
12103,Osceola, Florida,"375,751"
12105,Palm Beach, Florida,"1,496,770"
12107,Pasco, Florida,"553,947"
12109,Pinellas, Florida,"974,996"
12111,Polk, Florida,"724,777"
12113,Putnam, Florida,"74,521"
12115,St Johns, Florida,"264,672"
12117,St Lucie, Florida,"328,297"
12119,Santa Rosa, Florida,"184,313"
12121,Sarasota, Florida,"433,742"
12123,Seminole, Florida,"471,826"
12125,Sumter, Florida,"132,420"
12127,Suwannee, Florida,"44,417"
12129,Taylor, Florida,"21,569"
12131,Union, Florida,"15,237"
12133,Volusia, Florida,"553,284"
13001,Wakulla, Florida,"33,739"
13003,Walton, Florida,"74,071"
