FIPS,county,state,number,population
13185,Lowndes,GA,GA-501,"61,435"
13187,Lumpkin,GA,GA-501,"7,921"
13189,McDuffie,GA,GA-501,"19,559"
13191,McIntosh,GA,GA-501,"117,406"
13193,Macon,GA,GA-501,"33,610"
13195,Madison,GA,GA-501,"21,312"
13197,Marion,GA,GA-501,"14,378"
13199,Meriwether,GA,GA-500,"12,947"
13201,Miller,GA,GA-501,"29,880"
13205,Mitchell,GA,GA-501,"8,359"
13207,Monroe,GA,GA-501,"21,167"
13209,Montgomery,GA,GA-501,"5,718"
13211,Morgan,GA,GA-500,"21,863"
13213,Murray,GA,GA-501,"27,578"
13215,Muscogee,GA,GA-505,"9,172"
13217,Newton,GA,GA-500,"19,276"
13219,Oconee,GA,GA-501,"40,096"
13221,Oglethorpe,GA,GA-501,"195,769"
13223,Paulding,GA,GA-500,"111,744"
13225,Peach,GA,GA-501,"40,280"
13227,Pickens,GA,GA-500,"15,259"
13229,Pierce,GA,GA-501,"168,667"
13231,Pike,GA,GA-500,"27,546"
13233,Polk,GA,GA-501,"32,591"
13235,Pulaski,GA,GA-501,"19,465"
13237,Putnam,GA,GA-501,"18,962"
13239,Quitman,GA,GA-501,"42,613"
13241,Rabun,GA,GA-501,"11,137"
13243,Randolph,GA,GA-501,"22,119"
13245,Richmond,GA,GA-504,"2,299"
13247,Rockdale,GA,GA-500,"17,137"
13249,Schley,GA,GA-501,"6,778"
13251,Screven,GA,GA-501,"202,518"
13253,Seminole,GA,GA-501,"90,896"
13255,Spalding,GA,GA-500,"5,257"
13257,Stephens,GA,GA-501,"13,966"
13259,Stewart,GA,GA-501,"8,090"
13261,Sumter,GA,GA-501,"66,703"
13263,Talbot,GA,GA-501,"25,925"
13265,Taliaferro,GA,GA-501,"6,621"
13267,Tattnall,GA,GA-501,"29,524"
13269,Taylor,GA,GA-501,"6,195"
13271,Telfair,GA,GA-501,"1,537"
13273,Terrell,GA,GA-501,"25,286"
13275,Thomas,GA,GA-501,"8,020"
13277,Tift,GA,GA-501,"15,860"
13279,Toombs,GA,GA-501,"8,531"
13281,Towns,GA,GA-501,"44,451"
13283,Treutlen,GA,GA-501,"40,644"
13285,Troup,GA,GA-501,"26,830"
13287,Turner,GA,GA-501,"12,037"
13289,Twiggs,GA,GA-501,"6,901"
13291,Union,GA,GA-501,"69,922"
13293,Upson,GA,GA-501,"7,985"
13295,Walker,GA,GA-501,"8,120"
13297,Walton,GA,GA-500,"24,511"
13299,Ware,GA,GA-501,"26,320"
13301,Warren,GA,GA-501,"69,761"
13303,Washington,GA,GA-501,"94,593"
13305,Wayne,GA,GA-501,"35,734"
13307,Webster,GA,GA-501,"5,254"
13309,Wheeler,GA,GA-501,"20,374"
13311,White,GA,GA-501,"29,927"
13313,Whitfield,GA,GA-501,"2,607"
13315,Wilcox,GA,GA-501,"7,855"
13317,Wilkes,GA,GA-501,"30,798"
13319,Wilkinson,GA,GA-501,"104,628"
13321,Worth,GA,GA-501,"8,635"
15001,Hawaii,HI,HI-500,"9,777"
15003,Honolulu,HI,HI-501,"8,954"
15007,Kauai,HI,HI-500,"20,247"
15009,Maui,HI,HI-500,"201,513"
16001,Ada,ID,ID-500,"974,563"
16003,Adams,ID,ID-501,86
16005,Bannock,ID,ID-501,"72,293"
16007,Bear Lake,ID,ID-501,"167,417"
16009,Benewah,ID,ID-501,"481,587"
16011,Bingham,ID,ID-501,"4,294"
16013,Blaine,ID,ID-501,"87,808"
16015,Boise,ID,ID-501,"6,125"
16017,Bonner,ID,ID-501,"9,298"
16019,Bonneville,ID,ID-501,"46,811"
16021,Boundary,ID,ID-501,"23,021"
16023,Butte,ID,ID-501,"7,831"
16025,Camas,ID,ID-501,"45,739"
16027,Canyon,ID,ID-501,"119,062"
16029,Caribou,ID,ID-501,"12,245"
16031,Cassia,ID,ID-501,"2,597"
16033,Clark,ID,ID-501,"1,106"
16035,Clearwater,ID,ID-501,"229,849"
16037,Custer,ID,ID-501,"7,155"
